zone_id,production,attraction,out_degree,in_degree,weighted_degree,net_flow
1042,1075.100348,1088.225264,508,508,1016,-13.124915999999985
1039,947.686086,968.835189,508,508,1016,-21.14910299999997
1043,384.81814,382.779439,508,508,1016,2.038701000000003
1408,2297.59004,2345.190359,508,508,1016,-47.60031900000013
1196,2009.883205,2019.358839,508,508,1016,-9.4756339999999
1045,2047.648516,2005.835303,508,508,1016,41.813212999999905
1248,946.456351,954.616984,487,493,980,-8.160632999999962
1073,402.486091,418.54411,492,493,985,-16.058019
1190,948.543052,967.257612,503,506,1009,-18.714560000000006
1187,672.628833,691.802656,487,493,980,-19.17382299999997
1154,601.4407199999999,616.498614,508,508,1016,-15.057894000000033
1156,1968.1916879999999,1978.099932,508,508,1016,-9.908244000000195
1193,721.203091,737.311716,508,508,1016,-16.108625000000075
1192,1245.983933,1266.743201,508,508,1016,-20.75926800000002
1189,1367.789287,1375.485814,507,508,1015,-7.696526999999833
1439,500.90087,496.447212,508,508,1016,4.4536580000000185
1371,1439.370078,1470.75714,508,508,1016,-31.387062000000014
1194,1577.246761,1576.115662,508,508,1016,1.1310990000001766
1372,1547.007546,1563.133677,508,508,1016,-16.126130999999987
1373,1170.661583,1192.6458440000001,508,508,1016,-21.98426100000006
1197,2600.547617,2639.05109,508,508,1016,-38.50347299999976
1265,314.737759,329.923414,508,508,1016,-15.185654999999997
1445,1020.862456,1048.35032,508,508,1016,-27.48786400000006
1444,3318.896248,3422.093236,508,508,1016,-103.19698800000015
1269,1302.228542,1339.958735,508,508,1016,-37.73019299999987
1198,1095.590762,1132.910922,508,508,1016,-37.32015999999999
1264,911.645888,927.67659,508,508,1016,-16.03070200000002
1266,344.018959,355.302283,508,508,1016,-11.283323999999993
1270,581.752058,601.636145,508,508,1016,-19.884087000000022
1276,1961.295642,2037.444688,508,508,1016,-76.149046
1275,3588.5605330000003,3590.938988,508,508,1016,-2.378454999999576
1268,833.4619,840.290241,508,508,1016,-6.828341000000023
1277,2472.00864,2475.597519,508,508,1016,-3.5888789999999062
1409,1028.262648,1048.349682,508,508,1016,-20.08703400000013
1262,452.927352,466.282233,508,508,1016,-13.354881000000034
1263,521.111453,534.612997,508,508,1016,-13.501543999999967
1261,429.486393,440.161049,508,508,1016,-10.67465599999997
1423,508.721779,520.085642,508,508,1016,-11.36386299999998
1257,817.1966189999999,833.779512,508,508,1016,-16.582893000000013
1424,1399.57441,1405.724812,508,508,1016,-6.1504019999999855
1267,595.124791,614.666225,508,508,1016,-19.541434000000095
1278,418.846002,431.513078,508,508,1016,-12.667076000000009
1388,515.071592,521.610975,508,508,1016,-6.5393830000000435
1422,799.844884,819.537858,508,508,1016,-19.69297400000005
1387,680.611325,696.895383,508,508,1016,-16.284058000000073
1188,1138.617131,1141.255825,487,493,980,-2.6386939999999868
1074,499.020293,516.882703,508,508,1016,-17.86241000000001
1191,694.6083,720.731957,508,508,1016,-26.12365699999998
1442,1058.950696,1092.703736,508,508,1016,-33.75303999999983
1443,187.197196,187.51846,508,508,1016,-0.32126400000001354
1440,334.805501,347.409082,508,508,1016,-12.60358100000002
1087,2955.32184,2952.001519,508,508,1016,3.320321000000149
1075,626.67613,633.187831,508,508,1016,-6.511701000000016
1441,115.231536,118.508715,508,508,1016,-3.2771789999999896
1259,603.387669,620.020883,508,508,1016,-16.633214000000066
1370,449.87321000000003,461.732272,508,508,1016,-11.859061999999994
1258,293.569191,299.743651,508,508,1016,-6.1744600000000105
1089,2703.5098,2704.013629,508,508,1016,-0.5038290000002235
1260,350.662567,357.470454,508,508,1016,-6.807886999999994
1065,3273.186979,3234.980761,508,508,1016,38.20621800000026
1165,1114.707828,1104.193024,508,508,1016,10.51480400000014
1066,1712.605798,1688.911169,508,508,1016,23.694629000000077
1064,3011.681467,3017.639468,508,508,1016,-5.9580009999999675
1302,2748.342795,2792.725885,507,508,1015,-44.38308999999981
1304,792.442404,796.327838,507,508,1015,-3.885434000000032
1305,354.732755,364.051682,507,508,1015,-9.31892700000003
