zone_id,area_km2,n_segments,total_length_m,avg_seg_length_m,n_buildings,total_footprint_m2,avg_footprint_m2,street_density_km_km2,building_density_n_km2,building_coverage_pct
1425,3.3555649591449175,1193,39183984.99978415,32844.91617752234,419,114991.35687157323,274.4423791684325,11677.313798678246,124.86719974176026,3.426885137722857
1287,8.00666710298464,915,31116211.60329281,34006.78863747848,1092,226827.17919408914,207.7171970641842,3886.287665399957,136.38633728045667,2.832978769774691
1427,3.252675747377201,853,30281371.833684586,35499.84974640631,694,183593.51641035345,264.5439717728436,9309.680455576306,213.3627984774098,5.644384213778281
1290,11.97280847071892,350,12351363.981663587,35289.611376181674,526,99738.98249329891,189.61783743973177,1031.6179375850263,43.932883524062234,0.8330458366324303
1289,18.168099017425124,207,8323008.890487855,40207.77241781573,500,91045.02775997024,182.09005551994048,458.1111586030664,27.520765905142152,0.501125779161862
1281,6.286758126058991,340,12665963.521408083,37252.83388649436,669,117524.17316178992,175.67140980835563,2014.7050781080477,106.41414646238015,1.869392313259916
1492,3.5553065267526973,2200,70734190.56364545,32151.904801657023,403,143196.65284505888,355.3266819976647,19895.384555843568,113.3516890787156,4.027687957917094
1493,3.8161663670787522,2397,77325150.59762539,32259.13666984789,1052,150700.43788851667,143.25136681417933,20262.520854618095,275.66932329664087,3.9490007350983696
1093,2.111875090585208,1581,53234706.489656545,33671.541106677134,589,125249.85460583559,212.64831002688555,25207.31776560943,278.8990706059164,5.930741603241715
1286,0.7308561342896887,1103,34977287.85651707,31711.049733923,155,90526.46280919839,584.0416955432154,47857.96576847661,212.08004247052378,12.386358759536185
1284,0.5232510890961143,398,13496873.22594638,33911.741773734626,134,63951.64323201945,477.2510688956675,25794.25730247679,256.091201322633,12.22197995660022
1426,1.7924790056705495,1169,39000170.39267097,33361.993492447364,435,133662.6446812208,307.2704475430363,21757.67206717234,242.68066662084593,7.45685970426297
1428,1.153380624654758,749,27261456.325333912,36397.137951046614,204,90946.01305281646,445.81378947459046,23636.13168332362,176.87136027715346,7.885169137468333
1274,1.5336836384302794,331,12661780.171167843,38253.11229960073,418,94474.15230033975,226.0147184218654,8255.796602307852,272.5464297368535,6.159950457385968
1273,2.3473121318511687,365,14392096.707701951,39430.401938909454,714,164481.24725288057,230.3658925110372,6131.309301567773,304.17769767879815,7.0072166807728795
1271,3.4740063344997774,488,18264773.147743363,37427.81382734296,891,221172.6712333838,248.22970957731064,5257.553207764461,256.47621627848736,6.366501668029644
1094,2.269655471060218,966,37792225.29932339,39122.386438222966,725,132097.46330877175,182.2033976672714,16651.084616675147,319.4317416208252,5.82015486460883
1201,1.1776272020463232,575,21100857.496638194,36697.14347241425,492,88948.60688154491,180.78985138525388,17918.11318554118,417.7892622937617,7.553205864044403
1283,4.802821422478511,1147,44662243.07382389,38938.311311093195,1201,252871.453457406,210.5507522542931,9299.167956733192,250.0613481856713,5.26506049702158
1374,2.0154782074899322,552,23447573.31986228,42477.48789830123,602,152285.31324189092,252.96563661443676,11633.751847440606,298.68841933534384,7.555790614652509
1077,4.389830585105211,1161,47029469.3923257,40507.72557478527,860,245181.50917407812,285.0947781093932,10713.276624363976,195.90733248749925,5.585215748552671
1285,2.8520754120828755,605,21858133.227454696,36129.14583050363,696,176413.14390533452,253.46716078352662,7663.939436822838,244.03281801434207,6.185430552009833
1272,3.479226087893023,335,12977207.590463735,38737.9331058619,320,70651.82045354563,220.7869389173301,3729.912130637815,91.97447705785287,2.030676324812554
1282,2.0220412094998728,120,4649509.878613346,38745.91565511122,196,44187.538263876966,225.44662379529063,2299.4140063858276,96.93175345742742,2.18529365555345
1279,16.332715368941813,363,15361281.476126712,42317.57982404053,760,153296.85686231402,201.7063906083079,940.5222052260597,46.53237277649564,0.9385876959187224
1280,8.930398630582907,49,2311969.161945075,47183.04412132806,241,44432.22044335105,184.3660599309172,258.8875656712053,26.98647730849047,0.49753904927814924
1088,13.751177487592953,241,10892053.214607378,45195.24155438746,580,113244.15147447815,195.24853702496233,792.0814944345508,42.17820623167049,0.8235233061070811
1376,27.51197222998931,644,21005674.866293,32617.507556355587,1222,238474.56514788506,195.1510353092349,763.5103252756212,44.41702651429562,0.8668028709622527
1412,5.1850353993556775,1129,35654222.66474037,31580.35665610307,706,149342.80801871239,211.53372240610818,6876.370153455648,136.16107617852168,2.8802659290864354
1244,3.680279012443056,640,21573470.572948795,33708.54777023249,478,103919.56117120152,217.40493968870612,5861.911692023539,129.88145691777112,2.823687030788931
1413,0.8632228908873797,511,16564113.955765465,32415.09580384631,95,42468.507559323865,447.03692167709335,19188.687105757603,110.05268859626912,4.9197615132363905
1247,2.4418264268456125,255,8935311.86241892,35040.438676152626,345,74531.37419660711,216.0329686858177,3659.2739615656005,141.2876837628775,3.0522797762037426
1375,7.345102913674992,260,9477879.846024005,36453.38402316925,576,104920.98739507086,182.15449200533135,1290.3671953157038,78.41959558219567,1.4284481596538379
1249,11.78941472600383,245,9814510.496654298,40059.22651695632,739,148011.87450153497,200.286704332253,832.4849642456381,62.68334918865759,1.2554641425504034
