seg_idx,class,length_m,connector_count,speed_kph,graph_degree,betweenness,volume,voc,criticality_score,critical,pred_prob_critical,pred_critical
46839,service,55.448456623525196,2,,0,0.0,0.0,0.0,,,0.24629922,0
46840,unknown,33.31906659407434,2,,1,0.0,0.0,0.0,,,0.3094845,0
46841,service,82.56303444176682,2,,1,0.0,0.0,0.0,,,0.3871368,0
46842,service,34.838424980726174,2,,1,0.0,0.0,0.0,,,0.2513243,0
46843,service,44.59260200146568,2,,2,0.0,0.0,0.0,,,0.25031838,0
46844,service,64.12139612906391,3,,1,0.0,0.0,0.0,,,0.27194443,0
46845,living_street,396.3971943523331,16,,5,8.62987578170826e-05,0.0,0.0,,,0.37920836,0
46846,service,27.04828312553326,2,,2,0.0,0.0,0.0,,,0.25031838,0
46847,service,54.208330009892215,2,,0,0.0,0.0,0.0,,,0.24997328,0
46848,service,41.302403011436205,2,,0,0.0,0.0,0.0,,,0.25247687,0
46849,service,30.928235626146332,2,,2,0.0,0.0,0.0,,,0.25031838,0
46850,service,29.266993901939216,2,,0,0.0,0.0,0.0,,,0.25384375,0
46851,service,8.866657007509358,2,,1,0.0,0.0,0.0,,,0.27228305,0
46852,service,11.916221422465556,2,,0,0.0,0.0,0.0,,,0.25847536,0
46853,service,39.18711638992949,3,,0,0.0,0.0,0.0,,,0.28898287,0
46854,service,37.68890583890872,3,,2,8.445000661355473e-06,0.0,0.0,,,0.2983959,0
46855,service,7.147602553722588,2,,1,0.0,0.0,0.0,,,0.28706583,0
46856,living_street,146.29048733775795,7,,3,1.6890001322710946e-05,0.0,0.0,,,0.3257322,0
46857,service,14.087212008479794,3,,2,0.0,0.0,0.0,,,0.27108428,0
46858,service,57.57381273011518,3,,1,0.0,0.0,0.0,,,0.26952857,0
46859,service,11.872213331954935,2,,1,0.0,0.0,0.0,,,0.26975462,0
46860,service,32.30533531516034,2,,0,0.0,0.0,0.0,,,0.25281864,0
46861,service,25.10125435716886,2,,2,0.0,0.0,0.0,,,0.26822716,0
46862,service,13.415070703254898,2,,1,0.0,0.0,0.0,,,0.27238336,0
46863,service,42.221271612662356,2,,0,0.0,0.0,0.0,,,0.24997415,0
46864,service,59.41547278494288,3,,1,0.0,0.0,0.0,,,0.27238336,0
46865,service,23.60304305261275,4,,1,0.0,0.0,0.0,,,0.29959342,0
46866,secondary,42.82367355485951,2,,5,7.21222585317989e-05,0.0,0.0,,,0.5092795,1
46867,residential,43.14299017173039,2,,5,1.5770784367591548e-06,0.0,0.0,,,0.22768883,0
46868,residential,60.304255246899146,2,,5,1.5770784367591548e-06,0.0,0.0,,,0.2276539,0
46869,service,86.34024289498586,3,,3,0.0,0.0,0.0,,,0.21828327,0
46870,service,15.605297552927853,2,,0,0.0,0.0,0.0,,,0.25743502,0
46871,residential,15.305586606403773,2,,6,0.0,0.0,0.0,,,0.21835029,0
46872,service,36.936335822931106,2,,1,0.0,0.0,0.0,,,0.3124232,0
46873,secondary,116.59346355204349,4,,6,0.0004916379570087547,0.0,0.0,,,0.40615517,0
46874,service,146.75526123182456,5,,1,0.0,0.0,0.0,,,0.3124232,0
46875,service,62.26033114039738,3,,3,0.0,0.0,0.0,,,0.21832599,0
46876,service,93.69952632047647,4,,0,0.0,0.0,0.0,,,0.31426778,0
46877,secondary,83.17461250995834,3,,5,0.0021980744155208095,22911.966467,0.351627,0.11990583276845446,1.0,0.46645156,0
46878,residential,77.2819647904814,3,,5,1.9153871981929734e-05,0.0,0.0,,,0.22907545,0
46879,residential,76.80423098267681,3,,5,1.9153871981929734e-05,0.0,0.0,,,0.22908679,0
46880,service,132.49030572541528,3,,0,0.0,0.0,0.0,,,0.2659884,0
46881,living_street,44.8079381509426,3,,2,0.0,0.0,0.0,,,0.29206935,0
46882,living_street,15.47112203025035,2,,2,0.0,0.0,0.0,,,0.29206935,0
46883,service,43.5276401314954,3,,1,0.0,0.0,0.0,,,0.27228305,0
46884,service,45.14274585459161,2,,0,0.0,0.0,0.0,,,0.25375676,0
46885,service,56.69095340778,2,,0,0.0,0.0,0.0,,,0.27074575,0
46886,service,73.38629120649382,3,,0,0.0,0.0,0.0,,,0.28495345,0
46887,service,49.16495696572113,2,,0,0.0,0.0,0.0,,,0.31125996,0
46888,service,119.3191155457539,5,,2,0.0,0.0,0.0,,,0.33030772,0
46889,service,27.329018820965153,2,,3,0.0,0.0,0.0,,,0.28478175,0
46890,service,72.05756906836044,3,,0,0.0,0.0,0.0,,,0.28515235,0
46891,service,67.63991495854634,2,,0,0.0,0.0,0.0,,,0.24481213,0
46892,service,39.93937634516979,2,,0,0.0,0.0,0.0,,,0.25061038,0
46893,service,138.27464640786525,3,,0,0.0,0.0,0.0,,,0.26562357,0
46894,trunk,16.658179437717656,2,,6,7.512839775172902e-05,0.0,0.0,,,0.39768636,0
46895,trunk,169.71193634439183,4,,8,0.00017903990510280684,0.0,0.0,,,0.32743186,0
46896,residential,12.168191406524068,2,,7,5.4434642817170825e-05,0.0,0.0,,,0.28926507,0
46897,secondary,18.57495700407868,2,,6,0.0002516770401374961,0.0,0.0,,,0.3593038,0
46898,secondary,18.176907972339766,2,,6,0.0022775922998284214,0.0,0.0,,,0.47098967,0
46899,trunk,4.679601516596142,2,,5,0.0,0.0,0.0,,,0.3129544,0
46900,trunk,167.81922249945043,3,,8,0.00026530540713406097,0.0,0.0,,,0.3346685,0
46901,trunk,16.00998788096208,2,,6,0.00015990975188191647,0.0,0.0,,,0.4290037,0
46902,trunk,242.8355438473227,8,,8,0.00030114550003275175,0.0,0.0,,,0.303076,0
46903,service,44.731960938417096,2,,2,0.0,36111.296718,0.516571,0.17327331136171684,1.0,0.26689118,0
46904,service,24.146472166076048,2,,3,0.0,0.0,0.0,,,0.30374247,0
46905,service,58.64440438745745,2,,2,0.0,0.0,0.0,,,0.33030772,0
46906,service,108.8215276294653,4,,3,0.0,0.0,0.0,,,0.30374247,0
